text,label
I have been studying in Japan for two years.,good
I studying Japan two year.,bad
The experiment was successful with three samples.,good
Experiment successful three sample.,bad
Please contact me if you have any questions.,good
Contact me if have question.,bad
We analyzed the results using a statistical model.,good
We analyze result using statistics model.,bad
The conference will take place next Friday.,good
The conference take place next Friday.,bad
This method improves accuracy without increasing cost.,good
This method improve accurate without increase cost.,bad
I am looking forward to working with your team.,good
I looking forward work your team.,bad
The device needs to be calibrated before use.,good
Device need calibrate before use.,bad
She has completed the assignment already.,good
She complete assignment already.,bad
The weather was unusually warm this winter.,good
Weather was warm unusually this winter.,bad
The results indicate a positive trend.,good
Results indicate positive trend.,bad
Your application has been approved.,good
Your application approved.,bad
Our team is developing a new prototype.,good
Our team developing new prototype.,bad
I would like to schedule a meeting next week.,good
I like schedule meeting next week.,bad
They were able to solve the issue quickly.,good
They able solve issue quickly.,bad
